City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mount Isa,0,AU,1541291400,18,-20.73,139.49,96.8,12.75
Tanout,0,NE,1541293489,29,14.97,8.88,61.35,3.6
The Pas,90,CA,1541292000,79,53.82,-101.24,28.4,10.29
Waipawa,0,NZ,1541292954,58,-39.94,176.59,59.06,24.14
Natal,20,BR,1541289600,74,-5.81,-35.21,80.6,11.41
Praia da Vitoria,20,PT,1541289600,88,38.73,-27.07,66.2,20.54
King City,1,US,1541289180,55,36.21,-121.13,69.98,9.17
Oranjemund,92,ZA,1541293490,95,-28.55,16.43,58.65,19.19
Doha,0,QA,1541289600,61,25.29,51.53,80.6,6.93
Bambous Virieux,40,MU,1541289600,83,-20.34,57.76,71.6,5.82
Vanimo,68,PG,1541293490,100,-2.67,141.3,81.06,12.66
Georgetown,20,GY,1541289600,88,6.8,-58.16,78.8,5.06
Kokubu,75,JP,1541289600,72,31.73,130.77,60.8,5.82
Sao Joao da Barra,0,BR,1541293250,95,-21.64,-41.05,77.33,23.4
Denpasar,76,ID,1541292817,100,-8.65,115.22,75.39,1.86
Honiara,75,SB,1541289600,78,-9.43,159.96,82.4,4.7
Tilichiki,64,RU,1541293492,93,60.47,166.1,15.68,3.71
Ano Mera,0,GR,1541290800,77,37.45,25.4,62.6,21.92
Hobyo,0,SO,1541293492,92,5.35,48.53,75.39,7.07
Longyearbyen,20,NO,1541289000,68,78.22,15.63,28.4,29.97
Rio Gallegos,40,AR,1541289600,41,-51.62,-69.22,59,28.86
Mar del Plata,0,AR,1541293492,50,-46.43,-67.52,60.09,18.63
Pontianak,48,ID,1541293492,100,-0.02,109.34,77.73,3.31
Cognac,32,FR,1541291400,93,45.69,-0.33,42.8,3.36
Guerrero Negro,0,MX,1541293317,51,27.97,-114.04,76.74,8.3
Lebu,0,ET,1541292952,81,8.96,38.73,41.91,2.26
Souillac,32,FR,1541291400,93,45.6,-0.6,42.8,3.36
Kaeo,0,NZ,1541292951,51,-35.1,173.78,70.44,17.92
Lompoc,1,US,1541291700,24,34.64,-120.46,80.6,4.7
Ananas,0,HT,1541293493,88,19.25,-71.96,69.45,1.48
Sitka,68,US,1541293246,49,37.17,-99.65,57.75,17.69
Sola,90,NO,1541290800,76,58.89,5.65,51.8,24.16
Pangnirtung,76,CA,1541292952,100,66.15,-65.72,13.29,0.85
Numan,8,NG,1541293494,68,9.46,12.04,73.01,2.75
Potrero del Llano,92,MX,1541293494,84,21.08,-97.73,73.23,3.71
Fortuna,0,ES,1541291400,76,38.18,-1.13,51.8,5.82
Bintulu,90,MY,1541289600,100,3.17,113.03,77,5.82
Severo-Kurilsk,68,RU,1541293495,93,50.68,156.12,43.94,7.78
Cabo San Lucas,5,MX,1541288760,61,22.89,-109.91,78.8,9.17
Katobu,36,ID,1541293495,94,-4.94,122.53,83.4,2.59
Aksha,0,RU,1541293495,49,50.28,113.29,-4.4,3.53
Bombay,90,US,1541292780,76,44.94,-74.57,39.92,20.8
Scottsbluff,1,US,1541292780,72,41.87,-103.67,39.02,9.17
Bilibino,48,RU,1541293468,67,68.06,166.44,-2.01,2.3
Ndjole,88,GA,1541293496,97,-0.18,10.76,73.41,2.82
Portel,90,PT,1541289600,93,38.31,-7.71,53.6,5.82
Saint-Augustin,56,FR,1541291400,100,44.83,-0.61,41,2.24
Victoria,75,BN,1541291400,88,5.28,115.24,84.2,2.24
Forssa,90,FI,1541292600,100,60.82,23.63,37.4,5.82
Verkhnyaya Inta,76,RU,1541293496,77,65.99,60.32,24,4.09
Porto Novo,75,BR,1541293200,94,-23.68,-45.44,68,6.93
Banswara,0,IN,1541293290,76,23.55,74.45,67.61,2.53
Padang,32,ID,1541293323,100,-0.92,100.36,81.56,5.1
Lavumisa,0,ZA,1541293497,89,-27.31,31.88,54.15,4.99
Teya,75,MX,1541288940,94,21.05,-89.07,73.4,11.41
Torbat-e Jam,0,IR,1541293497,61,35.24,60.63,14.01,4.21
Lerwick,92,GB,1541292600,93,60.15,-1.15,51.8,21.92
Saskylakh,64,RU,1541293105,81,71.97,114.09,-1.92,3.31
Tra Vinh,8,VN,1541293470,91,9.93,106.35,77.96,5.32
Namibe,20,AO,1541293021,100,-15.19,12.15,70.44,11.36
Tarakan,88,ID,1541293501,100,3.3,117.63,81.11,2.98
Tessalit,0,ML,1541293024,34,20.2,1.01,66.71,4.21
Yokadouma,88,CM,1541293234,89,3.52,15.05,70.94,1.81
Ouallam,8,NE,1541293501,49,14.32,2.08,69.27,2.86
Cap Malheureux,40,MU,1541289600,83,-19.98,57.61,71.6,5.82
Pinheiro Machado,0,BR,1541293502,93,-31.58,-53.38,58.43,7.4
Esperance,20,TT,1541289600,88,10.24,-61.45,78.8,4.99
Tabou,76,CI,1541293502,100,4.42,-7.36,79.13,4.21
Erenhot,0,CN,1541293502,78,43.65,111.97,18.11,4.38
Lulea,36,SE,1541290800,92,65.58,22.15,30.2,1.12
Mozarlandia,48,BR,1541293502,84,-14.74,-50.57,76.47,3.71
Nanortalik,0,GL,1541293503,96,60.14,-45.24,31.2,28.66
Kununurra,40,AU,1541292120,58,-15.77,128.74,87.8,4.7
Launceston,40,AU,1541291400,67,-41.43,147.14,57.2,20.8
Bajil,0,ES,1541293503,83,38.23,-2.07,33.18,2.75
Chuy,20,UY,1541293321,95,-33.69,-53.46,57.66,4.27
Oytal,80,KZ,1541293503,85,42.91,73.27,28.59,2.86
Amparafaravola,80,MG,1541293504,98,-17.68,48.22,63.51,3.38
Shingu,40,JP,1541289600,67,33.72,135.99,62.6,1.12
Horsham,36,AU,1541293504,74,-36.71,142.2,62.34,6.73
Antonina,40,BR,1541289600,88,-25.43,-48.71,62.6,9.17
Okhotsk,0,RU,1541293504,100,59.36,143.24,16.44,18.14
Cidreira,100,BR,1541291837,97,-30.17,-50.22,65.22,9.86
Maynooth,20,IE,1541291400,81,53.38,-6.59,51.8,11.41
Qaqortoq,0,GL,1541292600,48,60.72,-46.03,19.4,5.82
Anamur,36,TR,1541293505,71,36.08,32.84,71.61,17.18
Vieux-Habitants,80,GP,1541291400,94,16.06,-61.77,75.2,3.36
Marathon,68,CA,1541293506,100,48.72,-86.38,35.61,8.63
Lokosovo,88,RU,1541293506,91,61.13,74.84,22.65,8.79
San Jose,56,PH,1541293441,96,15.79,120.99,75.93,2.71
Nalut,64,LY,1541293507,83,31.86,10.98,50.1,4.54
America Dourada,68,BR,1541293507,45,-11.46,-41.44,80.39,8.79
Lasa,20,CY,1541291400,59,34.92,32.53,68,8.05
Morondava,0,MG,1541293508,85,-20.3,44.28,72.83,7.78
Te Anau,92,NZ,1541293169,89,-45.41,167.72,43.53,12.88
Plettenberg Bay,0,ZA,1541293470,77,-34.05,23.37,68.19,2.53
Tura,88,IN,1541293508,98,25.52,90.21,65.94,3.6
Moerai,32,PF,1541293508,97,-22.43,-151.33,75.66,15.84
Kingori,20,TZ,1541289600,88,-3.38,37.02,69.8,3.2
Sorland,92,NO,1541293392,100,67.67,12.69,47.49,34.54
Caetite,36,BR,1541293509,86,-14.07,-42.48,70.04,2.59
East London,68,ZA,1541293102,89,-33.02,27.91,71.43,28.43
Caravelas,8,BR,1541293509,100,-17.73,-39.27,77.96,18.19
Ust-Nera,24,RU,1541293509,64,64.57,143.24,-10.92,2.37
Lincoln,20,GB,1541290800,81,53.23,-0.54,48.2,24.16
Kota Belud,75,MY,1541291400,74,6.35,116.43,86,4.7
Alofi,0,NU,1541289600,57,-19.06,-169.92,77,14.99
Kiunga,56,PG,1541293510,84,-6.12,141.3,81.51,1.07
Timbuktu,0,ML,1541293510,32,16.77,-3.01,77.01,10.8
Ponta do Sol,68,BR,1541292558,93,-20.63,-46,65.85,2.86
Vesoul,90,FR,1541291400,93,47.62,6.16,37.4,2.48
Homer,75,US,1541289180,67,59.64,-151.54,42.98,6.93
Port Hedland,0,AU,1541291400,24,-20.31,118.58,93.2,9.17
Cleburne,75,US,1541292900,64,32.35,-97.39,71.06,12.75
Alice Springs,0,AU,1541291400,23,-23.7,133.88,96.8,11.41
Lufilufi,68,WS,1541293511,100,-13.87,-171.6,80.25,22.1
Abu Kamal,92,SY,1541293512,95,34.45,40.92,56.63,7.11
Kayerkan,64,RU,1541292945,77,69.35,87.76,-0.75,3.04
Kaitangata,76,NZ,1541293512,92,-46.28,169.85,47.36,27.76
Zaraza,68,VE,1541293512,90,9.35,-65.33,75.48,3.6
Houma,80,CN,1541293512,68,35.63,111.36,44.48,2.37
Cayenne,0,GF,1541289600,83,4.94,-52.33,78.8,1.12
Kendari,48,ID,1541293513,77,-3.99,122.52,83.22,1.7
Athabasca,64,CA,1541293319,95,54.72,-113.29,35.43,4.05
Provideniya,44,RU,1541291595,100,64.42,-173.23,35.39,5.73
Port Elizabeth,1,US,1541292900,73,39.31,-74.98,53.96,4.7
Bilma,0,NE,1541293319,27,18.69,12.92,59.78,2.82
Bissora,8,GW,1541293514,72,12.22,-15.45,79.58,2.19
Saginaw,1,US,1541291700,80,43.42,-83.95,39.02,4.99
Nakusp,88,CA,1541293514,91,50.24,-117.8,35.7,1.59
Ola,20,RU,1541291400,79,59.58,151.3,23,4.47
Shenjiamen,56,CN,1541293515,88,29.96,122.3,69.86,11.88
Exeter,92,GB,1541293308,91,50.73,-3.53,52.94,18.92
Karoi,0,ZW,1541293515,62,-16.82,29.68,69.45,13.15
Venice,90,US,1541291700,68,27.1,-82.45,71.96,11.41
Rocha,0,UY,1541293446,94,-34.48,-54.34,56.76,4.5
Birao,64,CF,1541293515,49,10.3,22.78,80.03,4.5
Veydelevka,80,RU,1541293516,88,50.15,38.45,34.76,3.09
San Vicente,20,SV,1541289780,88,13.64,-88.78,80.6,3.36
Suluq,0,LY,1541290920,55,31.67,20.25,66.2,25.28
Port-Gentil,44,GA,1541293025,100,-0.72,8.78,78.59,6.73
Taywarah,0,AF,1541293516,59,33.35,64.42,9.29,2.08
Bijar,64,IR,1541293516,81,35.87,47.6,34.35,7.23
Boyuibe,44,BO,1541293517,69,-20.43,-63.28,79.26,14.83
Thaba-Tseka,8,LS,1541293517,80,-29.52,28.61,34.44,1.97
Kieta,76,PG,1541293172,100,-6.22,155.63,82.32,5.5
Kalianget,44,ID,1541293518,92,-7.35,109.91,71.48,2.86
Saldanha,0,PT,1541293402,84,41.42,-6.55,35.79,2.71
Kodiak,90,US,1541289180,71,39.95,-94.76,53.96,9.17
Genhe,0,CN,1541293518,57,50.78,121.52,0.56,3.09
Vostok,88,RU,1541293099,89,46.45,135.83,32.69,3.38
Mopipi,0,BW,1541293518,44,-21.2,24.86,73.46,17.18
Buraydah,40,SA,1541289600,100,26.33,43.97,60.8,8.05
Picayune,1,US,1541292780,82,30.53,-89.68,66.92,4.99
Saint Stephen,90,US,1541291760,95,45.7,-94.27,41.9,5.82
Scarborough,80,GB,1541289000,81,54.28,-0.41,51.8,10.29
Socorro,76,PH,1541293519,100,13.06,121.41,76.47,5.28
Nogliki,0,RU,1541293520,100,51.8,143.14,31.02,22.1
Turbat,44,PK,1541293520,14,26,63.05,65.49,21.21
Vung Tau,40,VN,1541291400,94,10.35,107.08,78.8,4.7
Wellington,12,NZ,1541291400,48,-41.29,174.78,60.8,26.4
Anadyr,75,RU,1541289600,85,64.73,177.51,24.8,4.47
Lavrentiya,56,RU,1541293521,100,65.58,-170.99,36.29,8.01
Touros,100,BR,1541293160,86,-5.2,-35.46,79.44,15.28
Garowe,0,SO,1541293521,89,8.41,48.48,66.53,6.51
Mugur-Aksy,0,RU,1541293521,75,50.38,90.44,-5.48,4.5
San Cristobal,75,EC,1541289600,71,-0.39,-78.55,57.2,6.93
Grindavik,20,IS,1541291400,69,63.84,-22.43,33.8,26.4
Mnogovershinnyy,56,RU,1541293522,60,53.94,139.92,24.72,10.65
Buzmeyin,0,TM,1541293200,80,38.05,58.21,32,2.24
Tigil,0,RU,1541293522,86,57.8,158.67,34.08,11.1
Conde,88,BR,1541293523,87,-11.81,-37.61,77.64,9.86
Chopinzinho,80,BR,1541293523,88,-25.86,-52.53,65.85,4.27
Quetta,0,PK,1541293523,56,30.19,67.02,24.72,2.98
Ilebo,80,CD,1541293523,98,-4.33,20.59,70.98,2.48
Namatanai,44,PG,1541293523,100,-3.66,152.44,83.18,7.85
West Bay,88,GB,1541289000,87,50.71,-2.76,53.6,12.75
Porbandar,0,IN,1541293524,83,21.64,69.61,75.44,8.01
Hofn,92,IS,1541293026,100,64.25,-15.21,38.31,27.76
Panaba,92,MX,1541293524,86,21.28,-88.27,78.72,5.99
Ambilobe,12,MG,1541293524,92,-13.19,49.05,69.59,3.09
Pacific Grove,1,US,1541291700,23,36.62,-121.92,77,9.17
Flinders,48,AU,1541289600,44,-34.58,150.85,75.2,9.17
Redlands,5,US,1541289480,7,34.06,-117.19,93.02,11.41
Buala,92,SB,1541293177,90,-8.15,159.59,83.09,10.09
Geraldton,90,CA,1541290380,86,49.72,-86.95,28.4,8.05
Macklin,36,CA,1541293525,94,52.34,-109.94,33.18,8.86
Hamilton,75,BM,1541289300,73,32.3,-64.78,75.2,9.17
Tete,92,MZ,1541293470,79,-16.16,33.59,72.29,10.65
Dargaville,8,NZ,1541293526,63,-35.94,173.86,66.21,22.95
Narsaq,0,GL,1541289000,41,60.91,-46.05,23,4.7
Belaya Gora,88,RU,1541293526,76,68.54,146.19,-7.1,3.49
Pochutla,75,MX,1541288400,66,15.74,-96.47,86,5.82
Bella Union,88,CO,1541293527,98,8.5,-73.35,67.38,1.81
Khani,0,GE,1541293200,50,41.96,42.96,55.4,19.46
Saint-Georges,92,CA,1541293115,100,46.12,-70.67,35.79,15.9
Port Augusta,80,AU,1541289600,39,-32.49,137.76,78.8,8.05
Peace River,90,CA,1541290860,92,56.23,-117.29,23,9.17
Gejiu,44,CN,1541293527,94,23.36,103.16,44.21,1.86
Rawson,0,AR,1541293528,33,-43.3,-65.11,68.78,16.84
Contai,20,IN,1541293528,100,21.78,87.75,77.82,6.78
Russell,20,AR,1541289600,26,-33.01,-68.8,78.8,3.36
Foumban,88,CM,1541293284,97,5.73,10.9,63.33,2.71
Itarema,0,BR,1541293528,81,-2.92,-39.92,78.68,15.17
Palu,88,ID,1541293529,95,-0.9,119.87,67.83,1.97
Ostrovnoy,88,RU,1541293028,100,68.05,39.51,32.19,3.38
